table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
hbm25703-tbl-0002,TABLE 2,,,-6.0,-42.0,36.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-4.0,-84.0,-4.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-6.0,-96.0,8.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-28.0,2.0,-24.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-6.0,18.0,48.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,8.0,18.0,46.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-8.0,10.0,56.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-56.0,16.0,30.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-46.0,18.0,28.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-52.0,12.0,8.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-50.0,-44.0,44.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-28.0,-68.0,44.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-8.0,40.0,-8.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-24.0,-28.0,-14.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,26.0,-12.0,-14.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-40.0,-84.0,12.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,30.0,-26.0,-6.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,24.0,-66.0,36.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,8.0,-52.0,10.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,56.0,-66.0,28.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-44.0,-74.0,20.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-32.0,-58.0,-8.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,24.0,60.0,18.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,12.0,30.0,58.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,46.0,22.0,34.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-32.0,-90.0,-12.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-4.0,16.0,48.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-36.0,0.0,58.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,30.0,-2.0,54.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,38.0,34.0,30.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-38.0,32.0,28.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-34.0,60.0,10.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-46.0,20.0,26.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,14.0,22.0,30.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-28.0,28.0,-2.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-30.0,-64.0,36.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-30.0,-64.0,52.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-50.0,-44.0,44.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-6.0,-60.0,48.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,8.0,-62.0,52.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,30.0,-64.0,-30.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-14.0,-4.0,2.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-8.0,-24.0,14.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,2.0,-36.0,-16.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,0.0,44.0,-12.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-8.0,40.0,-8.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-16.0,54.0,32.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,12.0,40.0,56.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-50.0,-4.0,6.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,54.0,-26.0,20.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,24.0,-14.0,-16.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-24.0,-22.0,-18.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,60.0,0.0,-2.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-62.0,-10.0,-14.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,54.0,0.0,-28.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-54.0,0.0,-22.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-48.0,0.0,-32.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-50.0,-66.0,32.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,26.0,-4.0,-20.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-40.0,-10.0,0.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,40.0,-14.0,-6.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-4.0,-6.0,46.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-4.0,-50.0,28.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-4.0,8.0,50.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-42.0,-40.0,46.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,40.0,-40.0,46.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-26.0,-66.0,34.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-10.0,52.0,28.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,14.0,44.0,48.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-18.0,54.0,30.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,50.0,34.0,-4.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,50.0,-26.0,10.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-44.0,-24.0,4.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-62.0,-28.0,8.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,60.0,-6.0,6.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-4.0,-12.0,42.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-38.0,-20.0,10.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,42.0,-16.0,10.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-6.0,-42.0,36.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-4.0,-84.0,-4.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-6.0,-96.0,8.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-28.0,2.0,-24.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-6.0,18.0,48.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,8.0,18.0,46.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-8.0,10.0,56.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-56.0,16.0,30.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-46.0,18.0,28.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-52.0,12.0,8.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-50.0,-44.0,44.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-28.0,-68.0,44.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-8.0,40.0,-8.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-24.0,-28.0,-14.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,26.0,-12.0,-14.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-40.0,-84.0,12.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,30.0,-26.0,-6.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,24.0,-66.0,36.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,8.0,-52.0,10.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,56.0,-66.0,28.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-44.0,-74.0,20.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-32.0,-58.0,-8.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,24.0,60.0,18.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,12.0,30.0,58.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,46.0,22.0,34.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-32.0,-90.0,-12.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-4.0,16.0,48.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-36.0,0.0,58.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,30.0,-2.0,54.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,38.0,34.0,30.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-38.0,32.0,28.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-34.0,60.0,10.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-46.0,20.0,26.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,14.0,22.0,30.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-28.0,28.0,-2.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-30.0,-64.0,36.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-30.0,-64.0,52.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-50.0,-44.0,44.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-6.0,-60.0,48.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,8.0,-62.0,52.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,30.0,-64.0,-30.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-14.0,-4.0,2.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-8.0,-24.0,14.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,2.0,-36.0,-16.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,0.0,44.0,-12.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-8.0,40.0,-8.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-16.0,54.0,32.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,12.0,40.0,56.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-50.0,-4.0,6.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,54.0,-26.0,20.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,24.0,-14.0,-16.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-24.0,-22.0,-18.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,60.0,0.0,-2.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-62.0,-10.0,-14.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,54.0,0.0,-28.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-54.0,0.0,-22.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-48.0,0.0,-32.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-50.0,-66.0,32.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,26.0,-4.0,-20.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-40.0,-10.0,0.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,40.0,-14.0,-6.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-4.0,-6.0,46.0,,,,,
hbm25703-tbl-0001,TABLE 1,,,-4.0,-50.0,28.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-4.0,8.0,50.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-42.0,-40.0,46.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,40.0,-40.0,46.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-26.0,-66.0,34.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-10.0,52.0,28.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,14.0,44.0,48.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-18.0,54.0,30.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,50.0,34.0,-4.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,50.0,-26.0,10.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-44.0,-24.0,4.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-62.0,-28.0,8.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,60.0,-6.0,6.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-4.0,-12.0,42.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-38.0,-20.0,10.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,42.0,-16.0,10.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-6.0,-42.0,36.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-4.0,-84.0,-4.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-6.0,-96.0,8.0,,,,,
hbm25703-tbl-0002,TABLE 2,,,-28.0,2.0,-24.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-6.0,18.0,48.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,8.0,18.0,46.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-8.0,10.0,56.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-56.0,16.0,30.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-46.0,18.0,28.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-52.0,12.0,8.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-50.0,-44.0,44.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-28.0,-68.0,44.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-8.0,40.0,-8.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,-24.0,-28.0,-14.0,,,,,
hbm25703-tbl-0003,TABLE 3,,,26.0,-12.0,-14.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-40.0,-84.0,12.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,30.0,-26.0,-6.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,24.0,-66.0,36.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,8.0,-52.0,10.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,56.0,-66.0,28.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-44.0,-74.0,20.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-32.0,-58.0,-8.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,24.0,60.0,18.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,12.0,30.0,58.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,46.0,22.0,34.0,,,,,
hbm25703-tbl-0004,TABLE 4,,,-32.0,-90.0,-12.0,,,,,
